CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP00316	草果	草果子|草果仁	cao guo	Wurfbainia villosa	Viridiplantae
CHP00339	柴桂	三条筋	chai gui	Cinnamomum tamala	Viridiplantae
CHP00355	车前草	车前草汁|车前|滇车前|平车前	che qian cao	Plantago major	Viridiplantae
CHP00356	车前子	盐车前子	che qian zi	Plantago major	Viridiplantae
CHP00360	沉香	白沉香|土沉香	chen xiang	Aquilaria sinensis	Viridiplantae
CHP00362	柽柳	柽柳子|西河柳|柽柳实	cheng liu	Tamarix chinensis	Viridiplantae
CHP06144	赤石脂	煅赤石脂	chi shi zhi	Kaolinite	Mineral
CHP00384	赤小豆	赤豆|红豆	chi xiao dou	Vigna angularis	Viridiplantae
CHP05790	虫白蜡	白蜡	chong bai la	Ericerus pela	Metazoa
CHP00389	臭柏	新疆圆柏实	chou bai	Juniperus sabina	Viridiplantae
CHP06145	磁石		ci shi	Magnetite	Mineral
CHP00451	刺李	酸梅	ci li	Prunus spinosa	Viridiplantae
CHP06224	刺糖		ci tang	Alhagi maurorum	Viridiplantae
CHP00513	大黄	制大黄|熟大黄|酒大黄|大黄药|掌叶大黄|大黄膏	dai huang	Rheum officinale	Viridiplantae
CHP06287	大戟脂	火秧力	da ji zhi	Euphorbia resinifera	Viridiplantae
CHP00520	大蓟	牛戳口	da ji	Cirsium japonicum	Viridiplantae
CHP00534	大麦	大麦粉|浮大麦	da mai	Hordeum vulgare	Viridiplantae
CHP06146	大青盐	石盐|青盐	da qing yan	Halite	Mineral
CHP00557	大蒜	紫皮大蒜|独头蒜|大蒜油	da suan	Allium sativum	Viridiplantae
CHP00608	大枣	大枣煎汁|红枣	da zao	Ziziphus jujuba	Viridiplantae
CHP06147	胆矾	胆帆	dan fan	Chalcanthite	Mineral
CHP00638	当归	不当归|分叉当归|酒当归|当归尾|当归油	dang gui	Angelica acutiloba	Viridiplantae
CHP00640	当药		dang yao	Swertia chinensis	Viridiplantae
CHP06248	德苦草		de ku cao	Centaurium erythraea	Viridiplantae
CHP05795	地龙	鲜地龙|蚯蚓|广地龙	di long	Aporrectodea caliginosa	Metazoa
CHP00756	颠茄	颠茄根|颠茄草	dian jia	Atropa belladonna	Viridiplantae
CHP00779	丁香	母丁香|丁香油酚|丁香罗勤油|丁香酚|公丁香	ding xiang	Syzygium aromaticum	Viridiplantae
CHP00784	丁香罗勒	毛叶西香罗勒|丁香罗勒油	ding xiang luo le	Ocimum gratissimum	Viridiplantae
CHP00821	冬葵子		dong kui zi	Malva verticillata	Viridiplantae
CHP00844	豆蔻	印豆蔻|白豆蔻|小豆蔻	dou kou	Elettaria cardamomum	Viridiplantae
CHP06285	毒鱼防己实		du yu fang ji shi	Anamirta cocculus	Viridiplantae
CHP06286	笃耨香子		du nou xiang zi	Pistacia terebinthus	Viridiplantae
CHP00948	莪术	郁金挥发油|片姜黄|郁金|广郁金|醋莪术|莪术油|温郁金|醋郁金|醋我术	e shu	Curcuma aeruginosa	Viridiplantae
CHP00972	儿茶	方儿茶	er cha	Senegalia catechu	Viridiplantae
CHP00997	番泻叶	尖叶番泻叶	fan xie ye	Senna alexandrina	Viridiplantae
CHP01019	飞燕草	飞蒸草	fei yan cao	Consolida ajacis	Viridiplantae
CHP05807	蜂蜜	蜂乳	feng mi	Apis mellifera	Metazoa
CHP01072	凤仙花		feng xian hua	Impatiens balsamina	Viridiplantae
CHP01073	凤仙透骨草	凤仙|急性子|鲜凤仙透骨草	feng xian tou gu cao	Impatiens balsamina	Viridiplantae
CHP01110	附子	漏篮子|生附子|川附子|天雄	fu zi	Aconitum carmichaelii	Viridiplantae
CHP01118	甘草	炙甘草|甘草胶|蜜甘草|甘草味胶|生甘草|甘草膏|光果甘草|土甘草	gan cao	Glycyrrhiza uralensis	Viridiplantae
CHP01119	甘草节	甘草根	gan cao jie	Glycyrrhiza uralensis	Viridiplantae
CHP01127	甘松	甘松油|毛甘松|匙叶甘松	gan song	Nardostachys jatamansi	Viridiplantae
CHP01138	橄榄	橄榄油	gan lan	Canarium album	Viridiplantae
CHP01146	干姜	干姜油|姜片|姜	gan jiang	Zingiber officinale	Viridiplantae
CHP01161	高良姜	良姜|高良姜油	gao liang jiang	Alpinia officinarum	Viridiplantae
CHP06343	鸽肉	鸽子肉	ge rou	Columba livia	Metazoa
CHP01183	茖葱	山蒜	ge cong	Allium victorialis	Viridiplantae
CHP01207	钩吻	常绿钩吻|胡蔓藤|断肠草	gou wen	Gelsemium sempervirens	Viridiplantae
CHP01236	枸杞子	鲜枸杞子	gou qi zi	Lycium barbarum	Viridiplantae
CHP01316	桂花		gui hua	Osmanthus fragrans	Viridiplantae
CHP01323	桂皮	桂皮油	gui pi	Cinnamomum insularimontanum	Viridiplantae
CHP01326	桂枝	桂子	gui zhi	Cinnamomum aromaticum	Viridiplantae
CHP05835	蛤壳	文蛤	ha ke	Meretrix lusoria	Metazoa
CHP01334	海带	昆布|裙带菜	hai dai	Saccharina japonica	Algae
CHP06355	海狸香		hai li xiang	Castor fiber	Metazoa
CHP05840	海马		hai ma	Hippocampus kuda	Metazoa
CHP05841	海螵蛸		hai piao shao	Sepia esculenta	Metazoa
CHP01350	旱芹	芹菜	han qin	Apium graveolens	Viridiplantae
CHP06211	旱芹根	芹菜根	han qin gen	Apium graveolens	Viridiplantae
CHP06210	旱芹子	野芹菜子|芹菜子	han qin zi	Apium graveolens	Viridiplantae
CHP01351	诃子	金诃子|黄诃子|卡布尔诃子|金色诃子|诃子仁|黄诃子皮	he zi 	Terminalia chebula	Viridiplantae
CHP01367	核桃仁	胡桃仁|核桃馏油|核桃|核桃油	he tao ren	Juglans regia	Viridiplantae
CHP01368	盒果藤	盒果藤根|盒果藤根皮	he guo teng	Operculina turpethum	Viridiplantae
CHP05848	黑蚂蚁		hei ma yi	Formica fusca	Metazoa
CHP01399	黑种草子		hei zhong cao zi	Nigella sativa	Viridiplantae
CHP01414	红豆蔻	大良姜|大高良姜	hong dou kou	Alpinia galanga	Viridiplantae
CHP01416	红豆杉		hong dou shan	Taxus chinensis	Viridiplantae
CHP01425	红花	精制红花油|草红花	hong hua	Carthamus tinctorius	Viridiplantae
CHP01440	红花子	红花子油	hong hua zi	Carthamus tinctorius	Viridiplantae
CHP01514	胡黄连	西藏胡黄连	hu huang lian	Picrorhiza kurrooa	Viridiplantae
CHP01515	胡椒	白胡椒|黑胡椒	hu jiao	Piper nigrum	Viridiplantae
CHP01516	胡芦巴	葫芦巴|胡卢巴|盐胡芦巴|胡芦巴子	hu lu ba	Trigonella foenum-graecum	Viridiplantae
CHP01517	胡萝卜	野胡萝卜	hu luo bo	Daucus carota	Viridiplantae
CHP01519	胡萝卜子	南鹤虱|野胡萝卜子|萝卜子	hu luo bo zi	Daucus carota	Viridiplantae
CHP01523	胡桃青皮	青龙衣	hu tao qing pi	Juglans regia	Viridiplantae
CHP01528	胡桐泪		hu tong lei	Populus euphratica	Viridiplantae
CHP01533	壶卢	生葫芦	hu lu	Lagenaria siceraria	Viridiplantae
CHP06157	琥珀	蜜蜡|焦琥珀	hu po	Amber	Mineral
CHP01561	花椒	山花椒|青花椒|川椒	hua jiao	Zanthoxylum bungeanum	Viridiplantae
CHP06159	滑石	滑石粉	hua shi	Talc	Mineral
CHP01644	黄瓜	黄瓜皮|黄瓜子	huang gua	Cucumis sativus	Viridiplantae
CHP06249	黄华柳	黄花柳	huang hua liu	Salix caprea	Viridiplantae
CHP01690	黄连	黄莲|萸黄连|峨嵋野黄连|三角叶黄连|云南黄连	huang lian	Coptis teeta	Viridiplantae
CHP01693	黄龙胆	欧龙胆	huang long dan	Gentiana lutea	Viridiplantae
CHP01735	黄蜀葵子	黄葵子	huang shu kui zi	Abelmoschus manihot	Viridiplantae
CHP01753	回回豆	鹰嘴豆	hui hui dou	Cicer arietinum	Viridiplantae
CHP01757	茴香	小茴香|茴香油|小茴香油|盐小茴香	hui xiang	Pimpinella anisum	Viridiplantae
CHP01758	茴香根	小茴香根皮	hui xiang gen	Anethum foeniculum	Viridiplantae
CHP01771	藿香	广藿香|土藿香|野藿香|广霍香|广藿香挥发油|广藿香油|广藿香叶	huo xiang	Pogostemon cablin	Viridiplantae
CHP01786	鸡冠花		ji guan hua	Celosia cristata	Viridiplantae
CHP05881	鸡内金	醋鸡内金|内金	ji na jin	Gallus gallus	Metazoa
CHP05878	鸡油		ji you	Gallus gallus	Metazoa
CHP05888	鸡子黄	鸡蛋黄	ji zi huang	Gallus gallus	Metazoa
CHP05889	鸡子壳	鸡蛋壳	ji zi ke	Gallus gallus	Metazoa
CHP01818	蒺藜	刺蒺藜|白蒺藜|蒺藜子|疾藜	ji li	Tribulus terrestris	Viridiplantae
CHP01834	夹竹桃		jia zhu tao	Nerium oleander	Viridiplantae
CHP01835	家独行菜	家独行菜子	jia du xing cai	Lepidium sativum	Viridiplantae
CHP01855	碱地马蔺	鸢尾根|鸢尾花|鸢尾花根	jian di ma lin	Iris halophila	Viridiplantae
CHP01864	姜黄		jiang huang	Curcuma longa	Viridiplantae
CHP01871	降香	降香油|降真香	jiang xiang	Aquilaria sinensis	Viridiplantae
CHP01897	芥蓝	卷心菜|甘蓝	gai lan	Brassica oleracea	Viridiplantae
CHP01898	芥子	黄芥子|红芥子|芥子油	jie zi	Brassica juncea	Viridiplantae
CHP06161	金箔		jin bo	Gold	Mineral
CHP05900	金钱白花蛇	白花蛇	jin qian bai hua she	Bungarus multicinctus	Metazoa
CHP01942	金丝桃		jin si tao	Hypericum perforatum	Viridiplantae
CHP01968	金盏菊	金盏菊花|金盏花	jin zhan ju	Calendula officinalis	Viridiplantae
CHP02007	韭菜	韮子|韭子|鲜韭菜	jiu cai	Allium tuberosum	Viridiplantae
CHP02009	韭菜子	盐韭菜籽|盐韭菜子	jiu cai zi	Allium tuberosum	Viridiplantae
CHP02019	菊花		ju hua	Chrysanthemum x morifolium	Viridiplantae
CHP02023	菊苣	菊苣子|苣菊子	ju ju	Cichorium intybus	Viridiplantae
CHP02024	菊苣根	菊苣根皮	ju ju gen	Cichorium intybus	Viridiplantae
CHP06163	空青	青金石	kong qing	Lapis Lazuli	Mineral
CHP02084	苦艾	中亚苦蒿	ku ai	Artemisia absinthium	Viridiplantae
CHP02109	苦蒿	苦蒿子	ku hao	Leuzea repens	Viridiplantae
CHP02113	苦壶卢子	葫芦皮|葫芦藤|瓠子|瓠子子|葫芦汁|壶卢子|葫芦子	ku hu lu zi	Lagenaria siceraria	Viridiplantae
CHP02166	腊梅花	蜡梅花|铁筷子	la mei hua	Chimonanthus praecox	Viridiplantae
CHP02178	莱菔		lai fu	Raphanus sativus	Viridiplantae
CHP02180	莱菔子	莱藤子|莱瓶子|莱服子|蓝花子	lai fu zi	Raphanus sativus	Viridiplantae
CHP02219	莨菪叶	天仙子|伯孜当	lang dang ye	Hyoscyamus niger	Viridiplantae
CHP02239	老鼠瓜	刺山柑根|刺山柑根皮|刺山柑	lao shu gua	Capparis spinosa	Viridiplantae
CHP02265	梨子	梨|梨叶|梨树叶|犁树叶|梨汁	li zi	Pyrus pyrifolia	Viridiplantae
CHP02272	藜芦	南刘寄奴|白藜芦	li lu	Veratrum album	Viridiplantae
CHP02305	莲花	荷花|白荷花露	lian hua	Nelumbo nucifera	Viridiplantae
CHP06167	硫磺	硫黄	liu huang	Sulfur	Mineral
CHP02390	柳枝	柳树|柳树根|鲜柳枝	liu zhi	Salix babylonica	Viridiplantae
CHP02405	龙葵	龙葵叶|龙葵实|龙葵实汁|龙葵果	long kui	Solanum nigrum	Viridiplantae
CHP05914	龙涎香		long xian xiang	Physeter catodon	Metazoa
CHP02441	芦根	干芦根|芦笋	lu gen	Phragmites australis	Viridiplantae
CHP02443	芦荟	斑纹芦荟|鲜芦荟汁	lu hui	Aloe vera	Viridiplantae
CHP05919	鹿角	鹿角霜|焦鹿角|鹿角胶	lu jiao	Cervus elaphus	Metazoa
CHP05922	鹿茸		lu rong	Cervus elaphus	Metazoa
CHP02502	罗勒	白罗勒|九层塔|毛罗勒|丁地罗勒油	luo le	Ocimum basilicum	Viridiplantae
CHP02504	罗勒子		luo le zi	Ocimum basilicum	Viridiplantae
CHP02196	萝卜		luo bo	Raphanus sativus	Viridiplantae
CHP02507	萝芙木	云南萝芙木|海南萝芙木	luo fu mu	Rauvolfia verticillata	Viridiplantae
CHP02514	骆驼蓬	骆驼蓬草	luo tuo peng	Peganum harmala	Viridiplantae
CHP02515	骆驼蓬子	骆驼蓬子油	luo tuo peng zi	Peganum harmala	Viridiplantae
CHP02527	吕宋楸毛	吕宋楸荚粉	lv song qiu mao	Mallotus philippensis	Viridiplantae
CHP02528	绿豆		lv dou	Vigna radiata	Viridiplantae
