cpm_id	Source	Target	attn_weights_1_head_1	attn_weights_1_head_2	attn_weights_2_head_1	attn_weights_2_head_2	attn_weights_3_head_1	attn_weights_3_head_2	attn_weights_4_head_1
UHF0132	CHP02750	Dry therapeutic	0.0013	0.0364	0.0235	0.0626	0.0703	0.0818	0.0698
UHF0132	CHP02750	Cold therapeutic	0.001	0.0429	0.0281	0.0655	0.0698	0.0663	0.0642
UHF0132	CHP02756	Cold therapeutic	0.0093	0.0275	0.0214	0.0689	0.0579	0.0584	0.0599
UHF0132	CHP02756	Hot therapeutic	0.0155	0.0262	0.0245	0.0611	0.0623	0.0722	0.063
UHF0132	CHP03013	Moist therapeutic	0.0053	0.0747	0.0667	0.1276	0.1224	0.1014	0.1138
UHF0132	CHP03013	Hot therapeutic	0.0056	0.0367	0.031	0.0611	0.0574	0.0622	0.0635
UHF0132	CHP03120	Moist therapeutic	0.0193	0.3722	0.0494	0.1193	0.1363	0.0995	0.1163
UHF0132	CHP03120	Hot therapeutic	0.0203	0.1828	0.0229	0.0571	0.0639	0.0611	0.0648
UHF0132	CHP03999	Cold therapeutic	0.0044	0.0217	0.0145	0.0722	0.0616	0.0638	0.0652
UHF0132	CHP03999	Dry therapeutic	0.0049	0.0184	0.0122	0.069	0.062	0.0788	0.0709
UHF0132	CHP04065	Moist therapeutic	0.0313	0.0325	0.1223	0.137	0.1152	0.1211	0.1167
UHF0132	CHP04065	Hot therapeutic	0.033	0.016	0.0568	0.0656	0.054	0.0744	0.065
UHF0132	CHP04258	Hot therapeutic	0.0324	0.1267	0.0565	0.0677	0.07	0.0486	0.0591
UHF0132	CHP04258	Dry therapeutic	0.0215	0.1129	0.0413	0.0729	0.0655	0.0484	0.0611
UHF0132	CHP04861	Hot therapeutic	0.1326	0.044	0.1775	0.0648	0.0661	0.0642	0.0621
UHF0132	CHP04861	Dry therapeutic	0.0879	0.0392	0.1296	0.0697	0.0619	0.064	0.0643
UHF0132	CHP05255	Cold therapeutic	0.3321	0.1218	0.2198	0.0627	0.1057	0.0706	0.0736
UHF0132	CHP05255	Dry therapeutic	0.3673	0.1033	0.184	0.0599	0.1064	0.0872	0.08
UHF0132	CHP06210	Dry therapeutic	0.0016	0.1559	0.0512	0.0731	0.0632	0.0501	0.0632
UHF0132	CHP06210	Hot therapeutic	0.0025	0.175	0.0701	0.0679	0.0675	0.0502	0.061
UHF0132	CHP06224	Cold therapeutic	0.0013	0.0326	0.0303	0.0646	0.059	0.0587	0.0598
UHF0132	CHP06224	Hot therapeutic	0.0022	0.031	0.0347	0.0573	0.0635	0.0726	0.0629
UHF0132	CHP06256	Cold therapeutic	0.0187	0.0586	0.037	0.068	0.0638	0.0559	0.0668
UHF0132	CHP06320	Moist therapeutic	0.0035	0.1321	0.0509	0.1224	0.1273	0.1539	0.1411
UHF0132	CHP06320	Cold therapeutic	0.0022	0.0682	0.0206	0.0661	0.0555	0.0764	0.0749
UHF0132	Dry therapeutic	CHP03999	0.4216	0.3507	0.6067	0.3543	0.3356	0.3142	0.313
UHF0132	Dry therapeutic	CHP00997	0.3168	0.3158	0.6415	0.3425	0.3563	0.3824	0.349
UHF0132	Dry therapeutic	CHP00308	0.2701	0.1849	0.4092	0.3825	0.2831	0.3083	0.3085
UHF0132	Dry therapeutic	CHP02685	0.314	0.2576	0.5499	0.3486	0.3283	0.3139	0.3176
UHF0132	Dry therapeutic	CHP05255	0.0351	0.2342	0.3493	0.3713	0.2693	0.3035	0.3001
UHF0132	Dry therapeutic	CHP04258	0.2175	0.2321	0.5863	0.3227	0.3476	0.3862	0.3491
UHF0132	Dry therapeutic	CHP02750	0.5051	0.3457	0.5785	0.3662	0.3208	0.3102	0.3146
UHF0132	Dry therapeutic	CHP06210	0.4225	0.1925	0.5632	0.3224	0.3523	0.3829	0.3455
UHF0132	Dry therapeutic	CHP04861	0.0762	0.358	0.4291	0.3274	0.355	0.3576	0.3434
UHF0132	Dry therapeutic	CHP01757	0.2982	0.4906	0.6361	0.3379	0.3667	0.3766	0.3484
UHF0132	Dry therapeutic	CHP01771	0.2527	0.3916	0.5832	0.3298	0.3624	0.3825	0.35
UHF0132	Dry therapeutic	CHP01690	0.0267	0.3299	0.6087	0.2938	0.3451	0.3987	0.3459
UHF0132	Dry therapeutic	Cold therapeutic	0.007	0.0573	0.169	0.0731	0.0602	0.0608	0.0608
UHF0132	Dry therapeutic	Hot therapeutic	0.0118	0.0546	0.1937	0.0648	0.0647	0.0752	0.0639
UHF0132	Moist therapeutic	CHP03120	0.2464	0.1827	0.3973	0.3071	0.3201	0.3842	0.3677
UHF0132	Moist therapeutic	CHP06320	0.4424	0.2935	0.3389	0.3304	0.3087	0.3143	0.3257
UHF0132	Moist therapeutic	CHP04065	0.2575	0.4308	0.3316	0.2933	0.3399	0.3618	0.3673
UHF0132	Moist therapeutic	CHP03013	0.3903	0.3687	0.3794	0.3004	0.3328	0.3821	0.3703
UHF0132	Moist therapeutic	CHP02023	0.01	0.3865	0.2722	0.3308	0.2977	0.3283	0.3221
UHF0132	Moist therapeutic	Cold therapeutic	0.0059	0.0556	0.0593	0.0627	0.0505	0.0665	0.0691
UHF0132	Moist therapeutic	Hot therapeutic	0.0099	0.0529	0.068	0.0556	0.0543	0.0823	0.0726
UHF0132	Cold therapeutic	CHP00608	0.6646	0.4188	0.7629	0.4796	0.4336	0.4097	0.4997
UHF0132	Cold therapeutic	CHP06224	0.3592	0.4239	0.4866	0.3009	0.3502	0.3724	0.3685
UHF0132	Cold therapeutic	CHP03999	0.3146	0.3604	0.3411	0.2957	0.3212	0.3559	0.3514
UHF0132	Cold therapeutic	CHP06320	0.3932	0.3466	0.5432	0.3213	0.3521	0.3251	0.3217
UHF0132	Cold therapeutic	CHP06256	0.2198	0.5285	0.7199	0.4729	0.4745	0.552	0.5054
UHF0132	Cold therapeutic	CHP02756	0.3026	0.4381	0.5099	0.2947	0.3526	0.373	0.3684
UHF0132	Cold therapeutic	CHP00308	0.2016	0.2117	0.2301	0.3192	0.271	0.3492	0.3463
UHF0132	Cold therapeutic	CHP02685	0.2343	0.2949	0.3092	0.2909	0.3142	0.3555	0.3565
UHF0132	Cold therapeutic	CHP05255	0.0331	0.2681	0.1964	0.3099	0.2578	0.3437	0.3368
UHF0132	Cold therapeutic	CHP02750	0.377	0.3957	0.3253	0.3056	0.3071	0.3514	0.3532
UHF0132	Cold therapeutic	CHP02023	0.0089	0.4565	0.4362	0.3218	0.3396	0.3395	0.3182
UHF0132	Cold therapeutic	CHP02305	0.2481	0.3862	0.5142	0.2919	0.3462	0.378	0.3662
UHF0132	Cold therapeutic	Dry therapeutic	0.0058	0.0557	0.0795	0.0583	0.058	0.085	0.0742
UHF0132	Cold therapeutic	Moist therapeutic	0.0083	0.1272	0.2346	0.1129	0.1321	0.1387	0.1287
UHF0132	Hot therapeutic	CHP03120	0.246	0.1862	0.4688	0.3776	0.3034	0.3309	0.3041
UHF0132	Hot therapeutic	CHP06224	0.3677	0.3658	0.3583	0.3804	0.291	0.3101	0.3085
UHF0132	Hot therapeutic	CHP00997	0.2831	0.312	0.2656	0.3613	0.2835	0.3607	0.328
UHF0132	Hot therapeutic	CHP02756	0.3098	0.3781	0.3754	0.3725	0.293	0.3107	0.3083
UHF0132	Hot therapeutic	CHP04065	0.2575	0.4391	0.3913	0.3607	0.3222	0.3116	0.3037
UHF0132	Hot therapeutic	CHP04258	0.1824	0.2292	0.2427	0.3404	0.2765	0.3643	0.3281
UHF0132	Hot therapeutic	CHP03013	0.3898	0.3758	0.4477	0.3694	0.3155	0.3291	0.3062
UHF0132	Hot therapeutic	CHP06210	0.3543	0.1902	0.2331	0.3401	0.2803	0.3612	0.3246
UHF0132	Hot therapeutic	CHP04861	0.0639	0.3536	0.1776	0.3454	0.2824	0.3373	0.3227
UHF0132	Hot therapeutic	CHP01757	0.2501	0.4846	0.2633	0.3565	0.2917	0.3552	0.3274
UHF0132	Hot therapeutic	CHP01771	0.2119	0.3868	0.2414	0.3479	0.2883	0.3608	0.3289
UHF0132	Hot therapeutic	CHP01690	0.0258	0.3259	0.2519	0.3627	0.2745	0.3761	0.325
UHF0132	Hot therapeutic	CHP02305	0.2788	0.3333	0.3786	0.369	0.2877	0.3148	0.3065
UHF0132	Hot therapeutic	Dry therapeutic	0.0065	0.048	0.0586	0.0736	0.0482	0.0708	0.0621
UHF0132	Hot therapeutic	Moist therapeutic	0.0093	0.1098	0.1727	0.1428	0.1098	0.1155	0.1077
UHF0132	CHP00308	CHP00308	0.5282	0.6034	0.3607	0.2982	0.4458	0.3425	0.3452
