CPM_ID	CHP_ID	Dosage_ratio
UHF0180	CHP00289	0.0041
UHF0180	CHP00001	0.0041
UHF0180	CHP00948	0.0041
UHF0180	CHP04382	0.0027
UHF0180	CHP03343	0.0027
UHF0180	CHP00004	0.0027
UHF0180	CHP04591	0.0027
UHF0180	CHP01127	0.0027
UHF0180	CHP01161	0.0027
UHF0180	CHP00306	0.0027
UHF0180	CHP03342	0.0027
UHF0180	CHP06001	0.0027
UHF0180	CHP00238	0.0027
UHF0180	CHP01146	0.0027
UHF0180	CHP00779	0.0027
UHF0181	CHP06328	0.3333
UHF0181	CHP05983	0.3333
UHF0181	CHP03998	0.3333
UHF0142	CHP00997	0.4886
UHF0142	CHP06224	0.3257
UHF0142	CHP01368	0.0521
UHF0142	CHP02750	0.0521
UHF0142	CHP03013	0.0521
UHF0142	CHP06320	0.0098
UHF0142	CHP03130	0.0098
UHF0142	CHP02305	0.0098
UHF0143	CHP01368	0.2222
UHF0143	CHP03120	0.2222
UHF0143	CHP06224	0.2222
UHF0143	CHP04065	0.1111
UHF0143	CHP06320	0.1111
UHF0143	CHP06282	0.0556
UHF0143	CHP01118	0.0556
UHF0144	CHP01368	0.2222
UHF0144	CHP03120	0.2222
UHF0144	CHP06224	0.2222
UHF0144	CHP04065	0.1111
UHF0144	CHP06320	0.1111
UHF0144	CHP06282	0.0556
UHF0144	CHP01118	0.0556
UHF0162	CHP00389	0.25
UHF0162	CHP01399	0.25
UHF0162	CHP06355	0.25
UHF0162	CHP03344	0.25
UHF0186	CHP00004	0.125
UHF0186	CHP06282	0.125
UHF0186	CHP04764	0.125
UHF0186	CHP00099	0.125
UHF0186	CHP00240	0.125
UHF0186	CHP03352	0.125
UHF0186	CHP00274	0.125
UHF0186	CHP00238	0.125
UHF0184	CHP00608	0.292
UHF0184	CHP04449	0.292
UHF0184	CHP02113	0.292
UHF0184	CHP02023	0.0365
UHF0184	CHP06224	0.0263
UHF0184	CHP06256	0.019
UHF0184	CHP05194	0.019
UHF0184	CHP04106	0.0073
UHF0184	CHP00844	0.0073
UHF0184	CHP00316	0.0073
UHF0184	CHP05408	0.0015
UHF0185	CHP05807	0.8108
UHF0185	CHP01515	0.027
UHF0185	CHP01161	0.027
UHF0185	CHP00238	0.027
UHF0185	CHP05360	0.027
UHF0185	CHP01146	0.027
UHF0185	CHP05607	0.027
UHF0185	CHP01326	0.027
UHF0138	CHP02685	0.0769
UHF0138	CHP06246	0.0769
UHF0138	CHP05255	0.0769
UHF0138	CHP04258	0.0769
UHF0138	CHP04473	0.0769
UHF0138	CHP03342	0.0769
UHF0138	CHP03198	0.0769
UHF0138	CHP00238	0.0769
UHF0138	CHP06167	0.0769
UHF0138	CHP01146	0.0769
UHF0138	CHP04036	0.0769
UHF0138	CHP01898	0.0769
UHF0138	CHP01326	0.0769
UHF0139	CHP02750	0.5774
UHF0139	CHP06246	0.1386
UHF0139	CHP01368	0.1386
UHF0139	CHP01146	0.1039
UHF0139	CHP01818	0.0416
UHF0140	CHP01368	0.3333
UHF0140	CHP06246	0.3333
UHF0140	CHP01399	0.3333
UHF0141	CHP04036	1.0
UHF0155	CHP00004	0.1111
UHF0155	CHP04473	0.1111
UHF0155	CHP05360	0.1111
UHF0155	CHP01515	0.1111
UHF0155	CHP00003	0.1111
UHF0155	CHP00238	0.1111
UHF0155	CHP01146	0.1111
UHF0155	CHP01323	0.1111
UHF0155	CHP01771	0.1111
