cpm_id	Source	Target	attention
UHF0119	Hot therapeutic	CHP04368	0.141654
UHF0119	Moist therapeutic	CHP04368	0.086406
UHF0119	CHP01119	CHP04368	0.006111
UHF0119	CHP01757	CHP04368	0.355067
UHF0119	CHP02024	CHP04368	0.005999
UHF0119	CHP03283	CHP04368	0.009726
UHF0119	CHP03800	CHP04368	0.010128
UHF0119	CHP05557	CHP04368	0.01564
UHF0119	CHP06210	CHP04368	0.071958
UHF0119	Dry therapeutic	CHP04368	0.055677
UHF0119	CHP01119	CHP05557	0.01077
UHF0119	CHP03800	CHP05557	0.017121
UHF0119	CHP05557	CHP05557	0.036372
UHF0119	Dry therapeutic	CHP05557	0.071173
UHF0119	Moist therapeutic	CHP05557	0.058692
UHF0119	Cold therapeutic	CHP05557	0.150309
UHF0119	CHP01757	CHP05557	0.353207
UHF0119	CHP02024	CHP05557	0.00633
UHF0119	CHP03124	CHP05557	0.044921
UHF0119	CHP03130	CHP05557	0.025371
UHF0119	CHP03283	CHP05557	0.010162
UHF0119	CHP04368	CHP05557	0.008211
UHF0119	CHP06210	CHP05557	0.070664
UHF0119	Hot therapeutic	CHP05557	0.136639
UHF0119	CHP01757	CHP06210	0.449569
UHF0119	CHP02024	CHP06210	0.010131
UHF0119	CHP03283	CHP06210	0.015741
UHF0119	CHP06210	CHP06210	0.097445
UHF0119	Cold therapeutic	CHP06210	0.084161
UHF0119	Hot therapeutic	CHP06210	0.128901
UHF0119	Dry therapeutic	CHP06210	0.091456
UHF0119	CHP01119	CHP06210	0.004956
UHF0119	CHP03124	CHP06210	0.034746
UHF0119	CHP03130	CHP06210	0.019122
UHF0119	CHP03800	CHP06210	0.008123
UHF0119	CHP04368	CHP06210	0.006397
UHF0119	CHP05557	CHP06210	0.012702
UHF0119	Moist therapeutic	CHP06210	0.03653
UHF0119	Cold therapeutic	Cold therapeutic	0.159643
UHF0119	Hot therapeutic	Cold therapeutic	0.148148
UHF0119	CHP01119	Cold therapeutic	0.011333
UHF0119	CHP03800	Cold therapeutic	0.017434
UHF0119	CHP05557	Cold therapeutic	0.030867
UHF0119	CHP01757	Cold therapeutic	0.345956
UHF0119	CHP02024	Cold therapeutic	0.00636
UHF0119	CHP03283	Cold therapeutic	0.010178
UHF0119	CHP06210	Cold therapeutic	0.067611
UHF0119	Dry therapeutic	Cold therapeutic	0.067707
UHF0119	CHP03124	Cold therapeutic	0.045081
UHF0119	CHP03130	Cold therapeutic	0.026298
UHF0119	CHP04368	Cold therapeutic	0.008315
UHF0119	Moist therapeutic	Cold therapeutic	0.05497
UHF0119	Dry therapeutic	Dry therapeutic	0.096343
UHF0119	Hot therapeutic	Dry therapeutic	0.135151
UHF0119	CHP01757	Dry therapeutic	0.443113
UHF0119	CHP02024	Dry therapeutic	0.011359
UHF0119	CHP03283	Dry therapeutic	0.017445
UHF0119	CHP06210	Dry therapeutic	0.085391
UHF0119	CHP01119	Dry therapeutic	0.005716
UHF0119	CHP03800	Dry therapeutic	0.009244
UHF0119	CHP05557	Dry therapeutic	0.015302
UHF0119	Moist therapeutic	Dry therapeutic	0.037128
UHF0119	Cold therapeutic	Dry therapeutic	0.089245
UHF0119	CHP03124	Dry therapeutic	0.031278
UHF0119	CHP03130	Dry therapeutic	0.01742
UHF0119	CHP04368	Dry therapeutic	0.005911
UHF0119	Cold therapeutic	Hot therapeutic	0.108211
UHF0119	Hot therapeutic	Hot therapeutic	0.146959
UHF0119	CHP01119	Hot therapeutic	0.006999
UHF0119	CHP03800	Hot therapeutic	0.011051
UHF0119	CHP05557	Hot therapeutic	0.018393
UHF0119	CHP01757	Hot therapeutic	0.385497
UHF0119	CHP02024	Hot therapeutic	0.008651
UHF0119	CHP03283	Hot therapeutic	0.013505
UHF0119	CHP06210	Hot therapeutic	0.074244
UHF0119	Dry therapeutic	Hot therapeutic	0.077035
UHF0119	CHP03124	Hot therapeutic	0.051101
UHF0119	CHP03130	Hot therapeutic	0.031334
UHF0119	CHP04368	Hot therapeutic	0.010214
UHF0119	Moist therapeutic	Hot therapeutic	0.056757
UHF0119	Moist therapeutic	Moist therapeutic	0.0884
UHF0119	Hot therapeutic	Moist therapeutic	0.144386
UHF0119	CHP03124	Moist therapeutic	0.080987
UHF0119	CHP03130	Moist therapeutic	0.051191
UHF0119	CHP04368	Moist therapeutic	0.016611
UHF0119	CHP01119	Moist therapeutic	0.007194
UHF0119	CHP03800	Moist therapeutic	0.011794
UHF0119	CHP05557	Moist therapeutic	0.019243
UHF0119	Dry therapeutic	Moist therapeutic	0.057843
UHF0119	Cold therapeutic	Moist therapeutic	0.101767
UHF0119	CHP01757	Moist therapeutic	0.337712
UHF0119	CHP02024	Moist therapeutic	0.005751
UHF0119	CHP03283	Moist therapeutic	0.009324
UHF0119	CHP06210	Moist therapeutic	0.067825
UHF0144	CHP01118	CHP01118	0.140906
UHF0144	CHP03120	CHP01118	0.082464
UHF0144	CHP04065	CHP01118	0.089505
UHF0144	CHP06320	CHP01118	0.058502
UHF0144	Cold therapeutic	CHP01118	0.085199
UHF0144	Hot therapeutic	CHP01118	0.166901
UHF0144	Moist therapeutic	CHP01118	0.146932
UHF0144	CHP01368	CHP01118	0.088625
UHF0144	CHP06224	CHP01118	0.036763
UHF0144	CHP06282	CHP01118	0.03553
UHF0144	Dry therapeutic	CHP01118	0.068501
UHF0144	CHP01368	CHP01368	0.187434
UHF0144	CHP06282	CHP01368	0.069298
UHF0144	Cold therapeutic	CHP01368	0.0854
UHF0144	Hot therapeutic	CHP01368	0.207053
UHF0144	Dry therapeutic	CHP01368	0.140624
UHF0144	CHP01118	CHP01368	0.070403
UHF0144	CHP03120	CHP01368	0.046046
UHF0144	CHP04065	CHP01368	0.050253
UHF0144	CHP06224	CHP01368	0.036144
UHF0144	Moist therapeutic	CHP01368	0.077862
UHF0144	CHP06320	CHP01368	0.029409
UHF0144	CHP01118	CHP03120	0.116996
UHF0144	CHP03120	CHP03120	0.099374
UHF0144	CHP04065	CHP03120	0.088221
UHF0144	CHP06320	CHP03120	0.058098
UHF0144	Cold therapeutic	CHP03120	0.085108
UHF0144	Hot therapeutic	CHP03120	0.171516
UHF0144	Moist therapeutic	CHP03120	0.151969
UHF0144	CHP01368	CHP03120	0.087919
UHF0144	CHP06224	CHP03120	0.03659
UHF0144	CHP06282	CHP03120	0.035419
UHF0144	Dry therapeutic	CHP03120	0.068759
UHF0144	CHP01118	CHP04065	0.117516
UHF0144	CHP03120	CHP04065	0.081522
UHF0144	CHP04065	CHP04065	0.107273
UHF0144	CHP06320	CHP04065	0.058158
UHF0144	Cold therapeutic	CHP04065	0.085101
UHF0144	Hot therapeutic	CHP04065	0.17039
UHF0144	Moist therapeutic	CHP04065	0.150941
UHF0144	CHP01368	CHP04065	0.088174
UHF0144	CHP06224	CHP04065	0.036638
UHF0144	CHP06282	CHP04065	0.035435
UHF0144	Dry therapeutic	CHP04065	0.068635
UHF0144	CHP06224	CHP06224	0.072523
UHF0144	CHP06320	CHP06224	0.078158
UHF0144	Dry therapeutic	CHP06224	0.094559
UHF0144	Moist therapeutic	CHP06224	0.122842
UHF0144	Cold therapeutic	CHP06224	0.138235
UHF0144	CHP01118	CHP06224	0.077033
UHF0144	CHP01368	CHP06224	0.101857
UHF0144	CHP03120	CHP06224	0.051976
UHF0144	CHP04065	CHP06224	0.056478
UHF0144	CHP06282	CHP06224	0.040905
UHF0144	Hot therapeutic	CHP06224	0.165399
UHF0144	CHP01368	CHP06282	0.164659
UHF0144	CHP06282	CHP06282	0.081287
UHF0144	Cold therapeutic	CHP06282	0.083921
UHF0144	Hot therapeutic	CHP06282	0.215849
UHF0144	Dry therapeutic	CHP06282	0.147388
UHF0144	CHP01118	CHP06282	0.069572
UHF0144	CHP03120	CHP06282	0.045545
UHF0144	CHP04065	CHP06282	0.049698
UHF0144	CHP06224	CHP06282	0.035773
UHF0144	Moist therapeutic	CHP06282	0.077113
UHF0144	CHP06320	CHP06282	0.029156
UHF0144	CHP01118	CHP06320	0.089897
UHF0144	CHP03120	CHP06320	0.063523
UHF0144	CHP04065	CHP06320	0.068611
UHF0144	CHP06320	CHP06320	0.122595
UHF0144	Cold therapeutic	CHP06320	0.159439
UHF0144	Hot therapeutic	CHP06320	0.122344
UHF0144	Moist therapeutic	CHP06320	0.168605
UHF0144	CHP01368	CHP06320	0.060663
UHF0144	CHP06224	CHP06320	0.058838
UHF0144	CHP06282	CHP06320	0.021899
UHF0144	Dry therapeutic	CHP06320	0.063549
UHF0144	Cold therapeutic	Cold therapeutic	0.149919
UHF0144	Hot therapeutic	Cold therapeutic	0.150658
UHF0144	CHP06224	Cold therapeutic	0.06232
UHF0144	Moist therapeutic	Cold therapeutic	0.137005
UHF0144	CHP06320	Cold therapeutic	0.096409
UHF0144	CHP01368	Cold therapeutic	0.093489
UHF0144	CHP06282	Cold therapeutic	0.036484
