CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0140	买朱尼 白热斯 蜜膏Ⅲ	mai zhu ni   bai re si   mi gao Ⅲ	Oral
UHF0141	买朱尼 白赛里 孜衣子 蜜膏	mai zhu ni   bai sai li   zi yi zi   mi gao	Oral
UHF0142	买朱尼 比乃非谢 蜜膏	mai zhu ni   bi nai fei xie   mi gao	Oral
UHF0143	买朱尼 比乃非谢 蜜膏Ⅰ	mai zhu ni   bi nai fei xie   mi gao Ⅰ	Oral
UHF0144	买朱尼 比乃非谢 蜜膏Ⅱ	mai zhu ni   bi nai fei xie   mi gao Ⅱ	Oral
UHF0145	买朱尼 达瓦衣 库日库米 蜜膏	mai zhu ni   da wa yi   ku ri ku mi   mi gao	Oral
UHF0146	买朱尼 达瓦衣罗克 蜜膏	mai zhu ni   da wa yi luo ke   mi gao	Oral
UHF0147	买朱尼 达瓦衣米西克 阿日 蜜膏	mai zhu ni   da wa yi mi xi ke   a ri   mi gao	Oral
UHF0148	买朱尼 达瓦衣米西克 巴日德 蜜膏	mai zhu ni   da wa yi mi xi ke   ba ri de   mi gao	Oral
UHF0149	买朱尼 达瓦衣米西克 木提地力 蜜膏Ⅰ	mai zhu ni   da wa yi mi xi ke   mu ti di li   mi gao Ⅰ	Oral
UHF0150	买朱尼 达瓦衣米西克 木提地力 蜜膏Ⅱ	mai zhu ni   da wa yi mi xi ke   mu ti di li   mi gao Ⅱ	Oral
UHF0151	买朱尼 达瓦衣米西克 西仁 蜜膏	mai zhu ni   da wa yi mi xi ke   xi ren   mi gao	Oral
UHF0152	买朱尼 代比地力 外尔德 蜜膏Ⅰ	mai zhu ni   dai bi di li   wai er de   mi gao Ⅰ	Oral
UHF0153	买朱尼 代比地力外尔德 蜜膏Ⅱ	mai zhu ni   dai bi di li wai er de   mi gao Ⅱ	Oral
UHF0154	买朱尼 代比地力外尔德 蜜膏Ⅲ	mai zhu ni   dai bi di li wai er de   mi gao Ⅲ	Oral
UHF0155	买朱尼 福地乃 蜜膏	mai zhu ni   fu di nai   mi gao	Oral
UHF0156	买朱尼 古丽那尔 蜜膏	mai zhu ni   gu li na er   mi gao	Oral
UHF0157	买朱尼 合亚尔先白日 蜜膏	mai zhu ni   he ya er xian bai ri   mi gao	Oral
UHF0158	买朱尼 黑亚斯 蜜膏	mai zhu ni   hei ya si   mi gao	Oral
UHF0159	买朱尼 胡比苏力 艾地德 蜜膏	mai zhu ni   hu bi su li   ai di de   mi gao	Oral
UHF0160	买朱尼 胡代 开比日 蜜膏	mai zhu ni   hu dai   kai bi ri   mi gao	Oral
UHF0161	买朱尼 胡代 赛格日 蜜膏	mai zhu ni   hu dai   sai ge ri   mi gao	Oral
UHF0162	买朱尼 混 蜜膏	mai zhu ni   hun   mi gao	Oral
UHF0163	买朱尼 加拉里丁和田尼 蜜膏	mai zhu ni   jia la li ding he tian ni   mi gao	Oral
UHF0164	买朱尼 节维孜拜瓦 蜜膏	mai zhu ni   jie wei zi bai wa   mi gao	Oral
UHF0165	买朱尼 卡巴比其尼 蜜膏	mai zhu ni   ka ba bi qi ni   mi gao	Oral
UHF0166	买朱尼 卡克乃吉 蜜膏	mai zhu ni   ka ke nai ji   mi gao	Oral
