CPM_ID	TCMT_ID
UHF0085	TCMT02748
UHF0087	TCMT02748
UHF0088	TCMT02248
UHF0088	TCMT02648
UHF0088	TCMT02534
UHF0088	TCMT00068
UHF0089	TCMT02648
UHF0089	TCMT02534
UHF0090	TCMT02247
UHF0091	TCMT02247
UHF0091	TCMT02568
UHF0091	TCMT02534
UHF0092	TCMT02245
UHF0092	TCMT00054
UHF0092	TCMT02279
UHF0092	TCMT02748
UHF0095	TCMT02534
UHF0095	TCMT02576
UHF0099	TCMT02534
UHF0099	TCMT02648
UHF0100	TCMT00187
UHF0102	TCMT00159
UHF0102	TCMT00222
UHF0103	TCMT02442
UHF0103	TCMT00222
UHF0103	TCMT02648
UHF0103	TCMT00278
UHF0104	TCMT00053
UHF0104	TCMT02748
UHF0105	TCMT02245
UHF0105	TCMT02375
UHF0105	TCMT00222
UHF0105	TCMT00159
UHF0106	TCMT02245
UHF0106	TCMT00205
UHF0106	TCMT02320
UHF0107	TCMT02248
UHF0107	TCMT02534
UHF0108	TCMT00286
UHF0110	TCMT02248
UHF0110	TCMT02375
UHF0110	TCMT02576
UHF0110	TCMT00053
UHF0111	TCMT02375
UHF0111	TCMT02534
UHF0111	TCMT02446
UHF0112	TCMT02375
UHF0114	TCMT02245
UHF0114	TCMT00205
UHF0118	TCMT00050
UHF0118	TCMT02375
UHF0119	TCMT02375
UHF0119	TCMT02509
UHF0120	TCMT02509
UHF0121	TCMT02509
UHF0122	TCMT02375
UHF0123	TCMT02444
UHF0123	TCMT02440
UHF0124	TCMT02442
UHF0124	TCMT00068
UHF0125	TCMT02375
UHF0125	TCMT02509
UHF0125	TCMT02446
UHF0126	TCMT02648
UHF0126	TCMT00286
UHF0127	TCMT02576
UHF0127	TCMT00222
UHF0127	TCMT02444
UHF0128	TCMT00270
UHF0129	TCMT02375
UHF0129	TCMT02509
UHF0129	TCMT02446
UHF0130	TCMT02375
UHF0130	TCMT02534
UHF0130	TCMT02446
UHF0132	TCMT02446
UHF0133	TCMT02446
UHF0134	TCMT02247
UHF0134	TCMT02534
UHF0134	TCMT02318
UHF0136	TCMT02246
UHF0136	TCMT00080
UHF0136	TCMT02375
UHF0137	TCMT02245
UHF0137	TCMT02442
UHF0137	TCMT02320
UHF0137	TCMT00206
UHF0138	TCMT02245
UHF0140	TCMT02245
UHF0140	TCMT02320
UHF0142	TCMT02534
UHF0142	TCMT02442
UHF0143	TCMT02246
UHF0143	TCMT00173
UHF0143	TCMT02251
UHF0143	TCMT02421
UHF0144	TCMT02246
UHF0144	TCMT00053
UHF0144	TCMT00173
UHF0145	TCMT02245
UHF0145	TCMT02446
UHF0145	TCMT00206
UHF0145	TCMT02375
UHF0145	TCMT02413
UHF0146	TCMT02245
UHF0146	TCMT02576
UHF0146	TCMT00205
UHF0147	TCMT00196
UHF0147	TCMT00202
UHF0148	TCMT00196
UHF0148	TCMT02516
UHF0150	TCMT00205
UHF0150	TCMT02258
UHF0151	TCMT02260
UHF0151	TCMT02251
UHF0151	TCMT00173
UHF0152	TCMT02245
UHF0152	TCMT00164
UHF0152	TCMT00222
UHF0152	TCMT00159
UHF0152	TCMT02428
UHF0152	TCMT00205
UHF0152	TCMT02625
UHF0153	TCMT02245
UHF0153	TCMT02509
UHF0153	TCMT00205
UHF0154	TCMT02245
UHF0154	TCMT02492
UHF0154	TCMT02413
UHF0155	TCMT02444
UHF0156	TCMT00302
UHF0156	TCMT00307
UHF0157	TCMT02246
UHF0157	TCMT00053
UHF0158	TCMT02245
UHF0158	TCMT00201
UHF0159	TCMT02671
UHF0160	TCMT02245
UHF0160	TCMT00292
UHF0160	TCMT02375
UHF0161	TCMT02245
